Epoch,Loss
1,88.7387
6,74.2161
11,65.1022
16,58.3757
21,53.0212
26,48.5835
31,44.8102
36,41.5577
41,38.7382
46,36.3139
51,34.2740
56,32.5308
61,31.0200
66,29.7286
71,28.6052
76,27.6344
81,26.7965
86,26.1063
91,25.4912
96,24.9499
101,24.4646
106,24.0343
111,23.6385
116,23.2635
121,22.9505
126,22.6347
131,22.3597
136,22.0909
141,21.8441
146,21.6064
